Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
Julio Urias,LAD,8.68,2.1,4.13,1.31,24.20%,5.90%,18.30%,0.207,1,0.24,80.20%,68,97,96,2.72,3.91,-1.19,3.85,3.66,14765
Paul Blackburn,OAK,7.28,2.58,2.83,0.98,19.20%,6.80%,12.40%,0.253,1.26,0.294,71.40%,116,100,97,4.35,3.92,0.43,3.9,4.11,14739
Adam Wainwright,STL,7.04,2.63,2.68,1.01,19.00%,7.10%,11.90%,0.249,1.24,0.288,79.40%,87,103,98,3.4,3.99,-0.58,3.94,4.19,2233
Jordan Montgomery,NYY,7.4,1.71,4.33,1.22,20.20%,4.70%,15.50%,0.234,1.08,0.265,78.30%,90,98,90,3.5,4,-0.5,3.63,3.78,16511
Nick Pivetta,BOS,8.71,3.33,2.62,1.11,23.00%,8.80%,14.20%,0.24,1.28,0.291,72.90%,107,101,105,4.35,4,0.36,4.22,4.13,15454
Robbie Ray,SEA,10.2,2.85,3.58,1.5,27.90%,7.80%,20.10%,0.225,1.15,0.277,78.30%,105,105,87,3.9,4.09,-0.19,3.48,3.41,11486
Triston McKenzie,CLE,8.41,2.44,3.45,1.35,23.90%,6.90%,16.90%,0.197,0.98,0.223,83.30%,79,105,104,3.11,4.15,-1.04,4.18,3.92,18000
Luis Garcia,HOU,9.69,2.81,3.45,1.54,26.40%,7.70%,18.80%,0.204,1.08,0.237,72.40%,100,105,90,3.81,4.16,-0.35,3.62,3.57,23735
Charlie Morton,ATL,10.37,3.43,3.03,1.29,27.30%,9.00%,18.20%,0.227,1.23,0.289,75.80%,100,105,94,4.2,4.16,0.04,3.76,3.62,4676
Zach Plesac,CLE,6.55,2.36,2.77,1.09,17.00%,6.10%,10.90%,0.253,1.26,0.282,68.00%,104,106,110,4.09,4.18,-0.09,4.39,4.46,19979
Sean Manaea,SDP,9,3.38,2.67,1.38,23.70%,8.90%,14.80%,0.236,1.28,0.28,68.70%,110,107,98,4.33,4.24,0.08,3.95,4.02,15873
Kyle Freeland,COL,6.29,2.73,2.3,0.99,16.10%,7.00%,9.10%,0.268,1.36,0.302,68.50%,99,102,111,4.64,4.32,0.32,4.48,4.6,16256
Brad Keller,KCR,6.02,3.28,1.84,0.97,15.80%,8.60%,7.20%,0.246,1.31,0.272,68.60%,104,110,109,4.16,4.34,-0.18,4.34,4.63,15734
Dane Dunning,TEX,7.96,3.58,2.23,1.07,20.10%,9.00%,11.10%,0.261,1.42,0.311,74.00%,113,110,102,4.38,4.36,0.02,4.07,4.18,19409
